,0,1,2
353,81.0,50.0,1.0
354,82.0,16.0,1.0
355,82.0,29.0,1.0
356,82.0,30.0,1.0
357,83.0,21.0,1.0
358,83.0,22.0,1.0
359,83.0,28.0,1.0
360,83.0,31.0,1.0
361,83.0,40.0,1.0
362,83.0,50.0,1.0
363,84.0,23.0,1.0
364,84.0,24.0,1.0
365,84.0,33.0,1.0
366,84.0,50.0,1.0
367,85.0,28.0,1.0
368,85.0,31.0,1.0
369,85.0,32.0,1.0
370,85.0,38.0,1.0
371,85.0,45.0,1.0
372,86.0,25.0,1.0
373,86.0,29.0,1.0
374,87.0,25.0,1.0
375,88.0,20.0,1.0
376,88.0,22.0,1.0
377,88.0,23.0,1.0
378,89.0,21.0,1.0
379,89.0,23.0,1.0
380,89.0,25.0,1.0
381,89.0,27.0,1.0
382,89.0,34.0,1.0
383,90.0,23.0,1.0
384,90.0,32.0,2.0
385,90.0,38.0,1.0
386,91.0,20.0,1.0
387,91.0,30.0,1.0
388,91.0,45.0,1.0
389,91.0,50.0,1.0
390,92.0,22.0,2.0
391,92.0,26.0,1.0
392,92.0,30.0,1.0
393,92.0,35.0,1.0
394,92.0,45.0,1.0
395,93.0,26.0,1.0
396,94.0,22.0,1.0
397,94.0,23.0,1.0
398,94.0,24.0,1.0
399,94.0,25.0,2.0
400,94.0,26.0,1.0
401,94.0,30.0,1.0
402,94.0,35.0,1.0
403,94.0,45.0,1.0
404,94.0,50.0,1.0
405,95.0,15.0,1.0
406,95.0,19.0,1.0
407,95.0,24.0,1.0
408,95.0,25.0,1.0
409,95.0,32.0,3.0
410,95.0,40.0,1.0
411,96.0,21.0,1.0
412,96.0,23.0,1.0
413,96.0,25.0,2.0
414,96.0,28.0,1.0
415,96.0,29.0,1.0
416,96.0,30.0,1.0
417,96.0,35.0,1.0
418,96.0,40.0,2.0
419,97.0,13.0,1.0
420,97.0,22.0,2.0
421,97.0,24.0,1.0
422,97.0,40.0,1.0
423,98.0,20.0,1.0
424,98.0,22.0,1.0
425,98.0,27.0,1.0
426,99.0,23.0,1.0
427,99.0,26.0,1.0
428,99.0,28.0,1.0
429,99.0,29.0,1.0
430,100.0,20.0,1.0
431,100.0,21.0,2.0
432,100.0,25.0,1.0
433,100.0,26.0,1.0
434,100.0,40.0,1.0
435,101.0,10.0,1.0
436,101.0,28.0,1.0
437,101.0,30.0,1.0
438,101.0,32.0,1.0
439,101.0,35.0,1.0
440,102.0,20.0,1.0
441,102.0,28.0,1.0
442,102.0,33.0,1.0
443,102.0,35.0,1.0
444,102.0,39.0,1.0
445,102.0,50.0,1.0
446,103.0,19.0,1.0
447,103.0,21.0,1.0
448,103.0,22.0,1.0
449,103.0,25.0,1.0
450,103.0,27.0,1.0
451,103.0,30.0,1.0
452,103.0,50.0,1.0
453,104.0,24.0,1.0
454,104.0,27.0,1.0
455,104.0,28.0,1.0
456,106.0,23.0,1.0
457,106.0,27.0,1.0
458,106.0,50.0,1.0
459,107.0,18.0,1.0
460,107.0,19.0,1.0
461,107.0,20.0,1.0
462,107.0,24.0,1.0
463,107.0,26.0,1.0
464,107.0,28.0,1.0
465,107.0,32.0,1.0
466,107.0,35.0,1.0
467,107.0,37.0,1.0
468,108.0,24.0,1.0
469,108.0,35.0,1.0
470,108.0,50.0,1.0
471,109.0,13.0,1.0
472,109.0,22.0,1.0
473,109.0,23.0,1.0
474,109.0,24.0,1.0
475,109.0,25.0,1.0
476,109.0,30.0,1.0
477,110.0,15.0,1.0
478,110.0,21.0,1.0
479,110.0,22.0,1.0
480,110.0,23.0,1.0
481,110.0,24.0,1.0
482,111.0,24.0,1.0
483,111.0,40.0,1.0
484,111.0,50.0,2.0
485,112.0,22.0,1.0
486,112.0,26.0,2.0
487,113.0,26.0,1.0
488,114.0,23.0,1.0
489,114.0,27.0,1.0
490,114.0,28.0,1.0
491,114.0,45.0,1.0
492,115.0,23.0,1.0
493,115.0,24.0,1.0
494,115.0,26.0,1.0
495,115.0,30.0,1.0
496,116.0,27.0,1.0
497,116.0,28.0,1.0
498,116.0,30.0,1.0
499,116.0,32.0,1.0
500,116.0,33.0,1.0
501,117.0,21.0,1.0
502,117.0,22.0,1.0
503,117.0,23.0,1.0
504,117.0,27.0,1.0
505,117.0,38.0,1.0
506,118.0,18.0,2.0
507,118.0,22.0,1.0
508,118.0,25.0,1.0
509,118.0,27.0,1.0
510,119.0,21.0,1.0
511,119.0,23.0,1.0
512,119.0,38.0,1.0
513,120.0,35.0,1.0
514,121.0,21.0,1.0
515,121.0,23.0,3.0
516,121.0,27.0,1.0
517,121.0,30.0,1.0
518,121.0,32.0,1.0
519,121.0,35.0,1.0
520,122.0,17.0,1.0
521,122.0,23.0,1.0
522,122.0,28.0,1.0
523,122.0,29.0,1.0
524,122.0,30.0,1.0
525,122.0,35.0,1.0
526,123.0,20.0,1.0
527,123.0,22.0,1.0
528,123.0,24.0,2.0
529,123.0,25.0,1.0
530,123.0,26.0,2.0
531,123.0,27.0,2.0
532,123.0,28.0,1.0
533,123.0,30.0,1.0
